jpmbq asreu zxcvk  ywth_ lodni fg___;9325;9124;1.022;1.000;47973.94524
jpmbq asreu zxcvk  ywth_ dolni fg___;9325;9124;1.022;1.000;47977.19671
qpmbj asreu zxcvk  ywth_ lodni fg___;9325;9124;1.022;1.000;47982.44909
qpmbj asreu zxcvk  ywth_ dolni fg___;9325;9124;1.022;1.000;47985.70056
jbpmq aseru zxcvk  ywth_ lodni fg___;9325;9124;1.022;1.000;47991.45316
jbpmq aseru zxcvk  ywth_ dolni fg___;9325;9124;1.022;1.000;47994.70463
qbpmj aseru zxcvk  ywth_ lodni fg___;9325;9124;1.022;1.000;47994.95474
jmpbq asreu zxcvk  ywth_ lodni fg___;9325;9124;1.022;1.000;47997.95610
qbpmj aseru zxcvk  ywth_ dolni fg___;9325;9124;1.022;1.000;47998.20621
jmpbq aseru zxcvk  ywth_ lodni fg___;9325;9124;1.022;1.000;47998.95655
jmpbq asreu zxcvk  ywth_ dolni fg___;9325;9124;1.022;1.000;48001.20757
jmpbq aseru zxcvk  ywth_ dolni fg___;9325;9124;1.022;1.000;48002.20802
qmpbj asreu zxcvk  ywth_ lodni fg___;9325;9124;1.022;1.000;48006.45994
qpmuj asreb zxcvk  ywth_ lodni fg___;9325;9124;1.022;1.000;48006.45994
qmpbj aseru zxcvk  ywth_ lodni fg___;9325;9124;1.022;1.000;48007.96062
jpmuq asreb zxcvk  ywth_ lodni fg___;9325;9124;1.022;1.000;48008.96107
qmpbj asreu zxcvk  ywth_ dolni fg___;9325;9124;1.022;1.000;48009.71141
qpmuj asreb zxcvk  ywth_ dolni fg___;9325;9124;1.022;1.000;48009.71141
qmpbj aseru zxcvk  ywth_ dolni fg___;9325;9124;1.022;1.000;48011.21209
jpmuq asreb zxcvk  ywth_ dolni fg___;9325;9124;1.022;1.000;48012.21255
jpmbq asreu zxcvk  ywth_ folni gd___;9325;9124;1.022;1.000;48014.96379
jpmbq asreu zxcvk  ywth_ folni dg___;9325;9124;1.022;1.000;48015.46402
jbmuq asrep zxcvk  ywth_ lodni fg___;9325;9124;1.022;1.000;48019.46583
qbmuj asrep zxcvk  ywth_ lodni fg___;9325;9124;1.022;1.000;48022.46718
jbmuq asrep zxcvk  ywth_ dolni fg___;9325;9124;1.022;1.000;48022.71730
qpmbj asreu zxcvk  ywth_ folni gd___;9325;9124;1.022;1.000;48023.46763
qpmbj asreu zxcvk  ywth_ folni dg___;9325;9124;1.022;1.000;48023.96786
jpmbk asreu zxcvq  ywth_ lodni fg___;9325;9124;1.022;1.000;48024.46809
qbmuj asrep zxcvk  ywth_ dolni fg___;9325;9124;1.022;1.000;48025.71865
jpmbk asreu zxcvq  ywth_ dolni fg___;9325;9124;1.022;1.000;48027.71956
qmpuj asreb zxcvk  ywth_ lodni fg___;9325;9124;1.022;1.000;48029.47035
jpmbq asreu zxcvk  ywth_ golni fd___;9325;9124;1.022;1.000;48029.72046
jpmbq asreu zxcvk  ywth_ lofni dg___;9325;9124;1.022;1.000;48031.47125
jmpuq asreb zxcvk  ywth_ lodni fg___;9325;9124;1.022;1.000;48031.97148
jbpmq aseru zxcvk  ywth_ folni gd___;9325;9124;1.022;1.000;48032.47171
