jmubq aserp zxcvk  wyth_ dilno fg___;13255;13156;20468;1.008;1.000;118071.86981
jbumq aserp zxcvk  wyth_ dilno fg___;13255;13156;20468;1.008;1.000;118087.37157
jmubq aserp zxcvk  wyth_ filno gd___;13255;13156;20468;1.008;1.000;118091.87208
jpubq aserm zxcvk  wyth_ dilno fg___;13255;13156;20468;1.008;1.000;118097.37270
jbumq aserp zxcvk  wyth_ filno gd___;13255;13156;20468;1.008;1.000;118107.37383
jpubq aserm zxcvk  wyth_ filno gd___;13255;13156;20468;1.008;1.000;118117.37497
qbumj aserp zxcvk  wyth_ dilno fg___;13255;13156;20468;1.008;1.000;118126.87604
qmubj aserp zxcvk  wyth_ dilno fg___;13255;13156;20468;1.008;1.000;118136.87717
jpumq aserb zxcvk  wyth_ dilno fg___;13255;13156;20468;1.008;1.000;118144.37802
qbumj aserp zxcvk  wyth_ filno gd___;13255;13156;20468;1.008;1.000;118146.87831
qmubj aserp zxcvk  wyth_ filno gd___;13255;13156;20468;1.008;1.000;118156.87944
qpumj aserb zxcvk  wyth_ dilno fg___;13255;13156;20468;1.008;1.000;118157.37950
qpubj aserm zxcvk  wyth_ dilno fg___;13255;13156;20468;1.008;1.000;118162.38006
jpumq aserb zxcvk  wyth_ filno gd___;13255;13156;20468;1.008;1.000;118164.38029
jmubq aserp zxcvk  wyth_ dolni fg___;13255;13156;20468;1.008;1.000;118173.38131
qpumj aserb zxcvk  wyth_ filno gd___;13255;13156;20468;1.008;1.000;118177.38176
qpubj aserm zxcvk  wyth_ filno gd___;13255;13156;20468;1.008;1.000;118182.38233
jbumq aserp zxcvk  wyth_ dolni fg___;13255;13156;20468;1.008;1.000;118188.88306
jpubq aserm zxcvk  wyth_ dolni fg___;13255;13156;20468;1.008;1.000;118198.88420
jpmbq asreu zxcvk  wyth_ dilno fg___;13255;13156;20468;1.008;1.000;118208.88533
