jpmbq asreu zxcvk  ywth_ dolni fg___;62845;59458;1.057;1.006;1154106.85695
jpmbq asreu zxcvk  wyth_ dolni gf___;62845;59458;1.057;1.006;1156140.93067
kmrpq asdeb zxcvj  wyth_ uolni fg___;59929;59846;1.001;1.000;1156320.94828
kpmbq asreu zxcvj  wyth_ dolni fg___;62845;59458;1.057;1.006;1156691.97241
jpmbq asreu zxcvk  ywth_ dolni gf___;62845;59458;1.057;1.006;1157290.31819
kbpmq aseru zxcvj  wyth_ dilno fg___;62845;59458;1.057;1.006;1157725.61601
kmrpq asdeb zxcvj  wuth_ yolni gf___;59929;59846;1.001;1.000;1157927.45446
jpmbq asreu zxcvk  ywth_ dloni fg___;62845;59458;1.057;1.006;1158631.43805
jpmkq asreu zxcvb  ywth_ dolni fg___;62845;59458;1.057;1.006;1159401.89002
kpmbq asreu zxcvj  wyth_ dolni gf___;62845;59458;1.057;1.006;1159923.74416
jbpuq asrem zxcvk  wyth_ dolni fg___;62845;59458;1.057;1.006;1159942.86707
kpmbq asreu zxcvj  wyth_ dloni gf___;62845;59458;1.057;1.006;1160950.34248
jprbq asmed zxcvk  ywth_ uilno fg___;59929;59846;1.001;1.000;1162428.97177
kbrpq asmeu zxcvj  wyth_ dolni fg___;62845;59458;1.057;1.006;1163086.06956
kbpuq asrem zxcvj  wyth_ dolni fg___;62845;59458;1.057;1.006;1163204.32966
kbdpj asrem zxcvq  wyth_ unloi fg___;59929;59846;1.001;1.000;1163244.97491
jbpuq asrem zxcvk  wyth_ dolin fg___;62845;59458;1.057;1.006;1163733.73232
kpmjq asreu zxcvb  wyth_ dolni gf___;62845;59458;1.057;1.006;1163889.23177
jpmkq asreu zxcvb  ywth_ dloni fg___;62845;59458;1.057;1.006;1163926.47112
kmrpq asdeb zxcvj  wyth_ uoinl fg___;59929;59846;1.001;1.000;1164016.97788
kprbq asmed zxcvj  wyth_ uolni fg___;59929;59846;1.001;1.000;1164127.47831
kpmqb asreu zxcvj  wyth_ dolni gf___;62845;59458;1.057;1.006;1164858.71297
kbrpq asmed zxcvj  wyth_ uolni fg___;59929;59846;1.001;1.000;1165098.48204
jpmbq asreu zxcvk  ywth_ lodni fg___;62845;59458;1.057;1.006;1165406.73530
kprbq asmed zxcvj  ywth_ uolni fg___;59929;59846;1.001;1.000;1165409.48324
kbrpq asmeu zxcvj  wfth_ dolni yg___;62845;59458;1.057;1.006;1165451.27155
kprbq asmed zxcvj  ywth_ uilno fg___;59929;59846;1.001;1.000;1165761.48459
qpmbj asreu zxcvk  ywth_ lodni fg___;62845;59458;1.057;1.006;1166072.26289
jbduq asrem zxcvk  wyth_ polni fg___;61381;57312;1.071;1.010;1166097.09237
jbmpq asreu zxcvk  yhtw_ dolni gf___;62845;59458;1.057;1.006;1166166.87097
