xpumq raely vbjdz  khtc_ fisno wg___;104332;112016;160501;1.074;138494.50;138259.50;1.000;1278096.13
zmupq rlaed bvjyx  khtc_ fisno wg___;104332;112016;160501;1.074;137598.50;138259.50;1.000;1278106.74
jmdpx arley bzvuq  kcth_ gsnio wf___;104332;112016;160501;1.074;138189.50;138409.00;1.000;1278117.95
jmupz rlaed bvqyx  kcth_ fisno wg___;104332;112016;160501;1.074;139099.50;138489.00;1.000;1278120.67
xpumq raely vbjdz  kcth_ finso wg___;104332;112016;160501;1.074;138494.50;138300.00;1.000;1278134.31
jmdpz arley bqvux  kcth_ gsnio wf___;104332;112016;160501;1.074;137735.00;138409.00;1.000;1278145.71
jpumq raely vbzdx  khtc_ ginso wf___;104332;112016;160501;1.074;138964.50;138549.50;1.000;1278147.18
zmupq rlaed bvjyx  kcth_ finso wg___;104332;112016;160501;1.074;137598.50;138300.00;1.000;1278154.69
jpumq realy vbxdz  khtc_ fisno wg___;104332;112016;160501;1.074;139183.50;138259.50;1.000;1278167.41
jmupx rlaed bvzyq  kcth_ finso wg___;104332;112016;160501;1.074;139590.50;138300.00;1.000;1278168.02
qpumx raely vbjdz  kcth_ gsoni wf___;104332;112016;160501;1.074;138275.00;137992.50;1.000;1278168.21
zpumq raely vbxdj  kcth_ gsoni wf___;104332;112016;160501;1.074;137986.50;137992.50;1.000;1278168.75
jmdpx alrey bzvuq  kcth_ gsnio wf___;104332;112016;160501;1.074;138257.00;138409.00;1.000;1278182.09
qpumj raely vbxdz  khtc_ gsoni wf___;104332;112016;160501;1.074;138056.00;138583.00;1.000;1278204.00
jmdpx arley bzquv  kcth_ gsnio wf___;104332;112016;160501;1.074;138292.00;138409.00;1.000;1278215.83
jpuyz raeld vbxmq  kcth_ gsoni wf___;104332;112016;160501;1.074;139464.00;137992.50;1.000;1278229.60
jpumz raely vbxdq  khtc_ gnosi wf___;104332;112016;160501;1.074;138892.50;138864.00;1.000;1278239.11
zmupq rlaed vbjyx  khtc_ fosni wg___;104332;112016;160501;1.074;138482.50;137414.50;1.000;1278241.15
qpumj raely vbzdx  kcth_ gsoni wf___;104332;112016;160501;1.074;138669.50;137992.50;1.000;1278251.28
jmupx rlaed bvqyz  khtc_ fisno wg___;104332;112016;160501;1.074;139676.50;138259.50;1.000;1278259.45
jmupq rlaed bvxyz  kcth_ fsnio wg___;104332;112016;160501;1.074;138577.00;139049.50;1.000;1278266.47
jmdpx arley bqvuz  kcth_ gsnoi wf___;104332;112016;160501;1.074;137653.50;138895.50;1.000;1278270.07
zmdpj alrey bvqux  kcth_ finso wg___;104332;112016;160501;1.074;137021.50;138300.00;1.000;1278274.27
jmdpx alrey bzquv  kcth_ gsnio wf___;104332;112016;160501;1.074;138359.50;138409.00;1.000;1278281.83
jmupx rlaed bvqyz  kcth_ finso wg___;104332;112016;160501;1.074;139676.50;138300.00;1.000;1278284.68
jmrpq auled vbzyx  kcth_ gsnio wf___;104332;112016;160501;1.074;139206.50;138409.00;1.000;1278310.62
xpumq raely vbjdz  kcth_ fisno wg___;104332;112016;160501;1.074;138494.50;138489.00;1.000;1278318.25
jpumq raely bvzdx  kcth_ gsoni wf___;104332;112016;160501;1.074;139436.00;137992.50;1.000;1278318.42
jpumq raely vbxdz  whtc_ fosni kg___;104332;112016;160501;1.074;138351.00;137471.00;1.000;1278323.75
jpdyx alrem bvzuq  khtc_ fisno wg___;104332;112016;160501;1.074;138545.00;138259.50;1.000;1278328.40
jmdpx alrey bzvuq  khtc_ ginso wf___;104332;112016;160501;1.074;138257.00;138549.50;1.000;1278330.94
jmupq rlaed vbzyx  kcth_ fisno wg___;104332;112016;160501;1.074;139172.00;138489.00;1.000;1278333.43
jplyz adrem vbqux  khtc_ fosni wg___;104332;112016;160501;1.074;138744.00;137414.50;1.000;1278338.26
jpumx raely vbqdz  kcth_ gsnio wf___;104332;112016;160501;1.074;139667.50;138409.00;1.000;1278342.82
xpumj raely vbqdz  kcth_ gsoni wf___;104332;112016;160501;1.074;139592.00;137992.50;1.000;1278345.12
jpuyq raeld vbzmx  khtc_ fosni wg___;104332;112016;160501;1.074;139655.00;137414.50;1.001;1278358.89
jpumq raely vxbdz  kcth_ gsoni wf___;104332;112016;160501;1.074;139466.00;137992.50;1.000;1278360.17
xpumz raely vbqdj  kcth_ gsoni wf___;104332;112016;160501;1.074;139021.00;137992.50;1.000;1278362.51
jmdyx arlep vbquz  khtc_ gsoni wf___;104332;112016;160501;1.074;138264.00;138583.00;1.000;1278373.61
zmupq rlaed bvjyx  kcth_ fisno wg___;104332;112016;160501;1.074;137598.50;138489.00;1.000;1278384.32
xpumq raely vbzdj  kcth_ gsoni wf___;104332;112016;160501;1.074;138943.00;137992.50;1.000;1278391.54
jmrpz auled bvxyq  khtc_ gsnio wf___;104332;112016;160501;1.074;138347.00;139412.50;1.000;1278393.63
jmrpq auled vbxyz  kcth_ gsnio wf___;104332;112016;160501;1.074;139279.50;138409.00;1.000;1278399.87
jmruq aldep bvxyz  kcth_ gsnio wf___;104332;112016;160501;1.074;137889.00;138409.00;1.000;1278402.61
jpumq raely bxvdz  kcth_ finso wg___;104332;112016;160501;1.074;139348.00;138300.00;1.000;1278405.04
xmupq rlaed bvjyz  kcth_ finso wg___;104332;112016;160501;1.074;138746.50;138300.00;1.000;1278407.90
jmupx rlaed bvqyz  kcth_ fisno wg___;104332;112016;160501;1.074;139676.50;138489.00;1.000;1278408.45
xpumq raely vbjdz  khtc_ gsoni wf___;104332;112016;160501;1.074;138494.50;138583.00;1.000;1278413.29
qmupx rlaed bvjyz  khtc_ finso wg___;104332;112016;160501;1.074;138849.50;137383.50;1.000;1278414.04
xpdyj alrem bvquz  khtc_ fonsi wg___;104332;112016;160501;1.074;139106.50;136538.50;1.001;1278423.74
zmrpq auled bvjyx  kcth_ gsnio wf___;104332;112016;160501;1.074;137778.00;138409.00;1.000;1278430.38
xpumq raely vbjdz  khtc_ gonsi wf___;104332;112016;160501;1.074;138494.50;138619.50;1.000;1278450.83
jpumq laery vbxdz  kcth_ gsoni wf___;104332;112016;160501;1.074;139545.50;137992.50;1.000;1278471.98
jmdpx arley bqvuz  kcth_ fsnio wg___;104332;112016;160501;1.074;137653.50;139049.50;1.000;1278478.90
jpumq raely vbxdz  kcth_ fonsi wg___;104332;112016;160501;1.074;138351.00;139385.50;1.000;1278489.69
jpumz raely bvxdq  khtc_ gsoni wf___;104332;112016;160501;1.074;139364.00;138583.00;1.000;1278510.70
jpumq raely bvzdx  kcth_ finso wg___;104332;112016;160501;1.074;139436.00;138300.00;1.000;1278518.74
jmdpx alrey bqvuz  kcth_ gsnoi wf___;104332;112016;160501;1.074;138009.00;138895.50;1.000;1278522.99
jmupq rlaed vbxyz  khtc_ fisno wg___;104332;112016;160501;1.074;139461.50;138259.50;1.000;1278524.47
jpumq raely bxzdv  kcth_ gsoni wf___;104332;112016;160501;1.074;139588.50;137992.50;1.000;1278533.17
zmrpj auled bvxyq  kcth_ gsnio wf___;104332;112016;160501;1.074;138830.50;138409.00;1.000;1278535.46
qpumz raely bjxdv  kcth_ gsoni wf___;104332;112016;160501;1.074;138221.00;137992.50;1.000;1278538.01
jpumq raely bxvdz  kcth_ fisno wg___;104332;112016;160501;1.074;139348.00;138489.00;1.000;1278545.62
jpdyx alrem bvzuq  kcth_ fisno wg___;104332;112016;160501;1.074;138545.00;138489.00;1.000;1278547.42
jpumz raely vbqdx  kcth_ fsnio wg___;104332;112016;160501;1.074;139046.00;139049.50;1.000;1278578.00
jpuyz raeld vbqmx  kcth_ gsoni wf___;104332;112016;160501;1.074;139721.00;137992.50;1.000;1278597.04
qpumz raely bxjdv  kcth_ gsoni wf___;104332;112016;160501;1.074;138276.50;137992.50;1.000;1278597.33
qpumz realy bxjdv  khtc_ finso wg___;104332;112016;160501;1.074;138672.00;137383.50;1.000;1278597.88
jmdpx arley bvquz  khtc_ gsnio wf___;104332;112016;160501;1.074;136594.00;139412.50;1.001;1278606.89
xmdpj alrey bvquz  kcth_ gsnoi wf___;104332;112016;160501;1.074;137626.00;138895.50;1.000;1278614.28
jmrpx eulad qbzyv  kcth_ gsoni wf___;104332;112016;160501;1.074;140025.00;137992.50;1.000;1278626.92
jpuyq raeld vbzmx  kcth_ gsoni wf___;104332;112016;160501;1.074;139655.00;137992.50;1.000;1278628.77
jmrpq auled bzvyx  kcth_ gsnio wf___;104332;112016;160501;1.074;139464.00;138409.00;1.000;1278631.80
xmupq rlaed bvjyz  khtc_ ginso wf___;104332;112016;160501;1.074;138746.50;138549.50;1.000;1278635.92
jpumq laery vbxdz  khtc_ fisno wg___;104332;112016;160501;1.074;139545.50;138259.50;1.000;1278636.44
jpumq raely bvzdx  kcth_ fisno wg___;104332;112016;160501;1.074;139436.00;138489.00;1.000;1278654.81
qpumz raely vbjdx  khtc_ gsoni wf___;104332;112016;160501;1.074;137653.50;138583.00;1.000;1278670.59
jmdpx alrey vbquz  kcth_ gsnoi wf___;104332;112016;160501;1.074;138203.50;138895.50;1.000;1278676.11
qpumx raely vbzdj  kcth_ gsoni wf___;104332;112016;160501;1.074;138723.50;137992.50;1.000;1278677.76
jpumq raely vxbdz  kcth_ fisno wg___;104332;112016;160501;1.074;139466.00;138489.00;1.000;1278692.51
xpumq raely vbjdz  khtc_ gnosi wf___;104332;112016;160501;1.074;138494.50;138864.00;1.000;1278711.45
jyupq raeld vbxmz  kcth_ gsnoi wf___;104332;112016;160501;1.074;139197.00;138895.50;1.000;1278714.80
jmdpx alrey bzvuq  kcth_ gsnoi wf___;104332;112016;160501;1.074;138257.00;138895.50;1.000;1278720.04
jpumq raely bxzdv  kcth_ finso wg___;104332;112016;160501;1.074;139588.50;138300.00;1.000;1278720.68
zpumj raely vbqdx  kcth_ gsoni wf___;104332;112016;160501;1.074;139249.00;137992.50;1.000;1278725.74
xpumj raely vbqdz  khtc_ gsoni wf___;104332;112016;160501;1.074;139592.00;138583.00;1.000;1278727.80
jmrpq auled bzvyx  khtc_ ginso wf___;104332;112016;160501;1.074;139464.00;138549.50;1.000;1278735.16
qmrpx auled bvjyz  kcth_ finso wg___;104332;112016;160501;1.074;138539.00;138300.00;1.000;1278736.64
jmdpz arley bxvuq  kcth_ gsnio wf___;104332;112016;160501;1.074;138395.50;138409.00;1.000;1278745.02
jmdpx arley zbvuq  kcth_ gsnio wf___;104332;112016;160501;1.074;138805.50;138409.00;1.000;1278748.49
zmupq rlaed vjbyx  khtc_ finso wg___;104332;112016;160501;1.074;138874.50;137383.50;1.000;1278748.88
jmdpx arley bzquv  kcth_ gsnoi wf___;104332;112016;160501;1.074;138292.00;138895.50;1.000;1278749.20
jmdpz arley bqvux  kcth_ gsnoi wf___;104332;112016;160501;1.074;137735.00;138895.50;1.000;1278752.52
jplyz adrem vbqux  kcth_ gsoni wf___;104332;112016;160501;1.074;138744.00;137992.50;1.000;1278752.84
zpdyx alrem bvjuq  khtc_ fosni wg___;104332;112016;160501;1.074;138173.00;137414.50;1.000;1278757.92
jpumq raely vxbdz  khtc_ gsoni wf___;104332;112016;160501;1.074;139466.00;138583.00;1.000;1278763.07
xpdyj alrem bvquz  khtc_ finso wg___;104332;112016;160501;1.074;139106.50;137383.50;1.000;1278767.34
jmdpz erlay bxquv  kcth_ gsnio wf___;104332;112016;160501;1.074;138424.50;138409.00;1.000;1278774.03
jmupz rlaed vbqyx  khtc_ fosni wg___;104332;112016;160501;1.074;139984.00;137414.50;1.001;1278774.31
jplyx adrem vbquz  kcth_ fisno wg___;104332;112016;160501;1.074;138762.50;138489.00;1.000;1278774.47
zmdpx arley bvquj  kcth_ gsnio wf___;104332;112016;160501;1.074;137008.50;138409.00;1.000;1278777.15
qpumj raely vbzdx  khtc_ gsoni wf___;104332;112016;160501;1.074;138669.50;138583.00;1.000;1278781.25
jpamz ruely bvxdq  khtc_ gsoni wf___;104332;112016;160501;1.074;139585.00;138583.00;1.000;1278784.18
jpumq laery vbxdz  kcth_ fisno wg___;104332;112016;160501;1.074;139545.50;138489.00;1.000;1278793.57
xpumq raely vbzdj  kcth_ fisno wg___;104332;112016;160501;1.074;138943.00;138489.00;1.000;1278794.24
qpumz raely bvxdj  kcth_ fisno wg___;104332;112016;160501;1.074;137960.00;138489.00;1.000;1278804.10
jmrpq auled vbxyz  kcth_ gsnoi wf___;104332;112016;160501;1.074;139279.50;138895.50;1.000;1278804.80
zpumq raely vbxdj  khtc_ gsoni wf___;104332;112016;160501;1.074;137986.50;138583.00;1.000;1278807.04
xpumq raely bvjdz  kcth_ fisno wg___;104332;112016;160501;1.074;138970.00;138489.00;1.000;1278824.60
jpumz raely bxqdv  kcth_ fisno wg___;104332;112016;160501;1.074;139670.00;138489.00;1.000;1278827.46
qpumz raely bxvdj  kcth_ gsoni wf___;104332;112016;160501;1.074;138486.00;137992.50;1.000;1278828.71
jpumq raely vbxdz  kcth_ gisno wf___;104332;112016;160501;1.074;138351.00;139644.50;1.000;1278829.26
qmrpx auled bvjyz  kcth_ gsnio wf___;104332;112016;160501;1.074;138539.00;138409.00;1.000;1278840.26
jpumq raely bzxdv  kcth_ finso wg___;104332;112016;160501;1.074;139677.50;138300.00;1.000;1278841.41
zmupx rlaed bvjyq  khtc_ fisno wg___;104332;112016;160501;1.074;138898.00;138259.50;1.000;1278846.54
jpumq raely bxzdv  kcth_ fisno wg___;104332;112016;160501;1.074;139588.50;138489.00;1.000;1278848.94
jpumq raely bvxdz  kcth_ fonsi wg___;104332;112016;160501;1.074;138822.50;139385.50;1.000;1278860.32
jpumq laery vbxdz  khtc_ gsoni wf___;104332;112016;160501;1.074;139545.50;138583.00;1.000;1278862.11
