qmdyj asrep zxcvk  wfth_ uilno bg___;107452;100366;169031;1.0706;1.0099;957282.96
qmdwj asrep zxcvk  yuth_ folni bg___;105719;100927;170203;1.0475;1.0045;957328.54
jmdyq asrep zxcvk  wfth_ uilno bg___;107452;100366;169031;1.0706;1.0099;957475.35
qmdyj asrep zxcvk  wuth_ folni bg___;107452;100366;169031;1.0706;1.0099;957481.41
jmdwq asrep zxcvk  yuth_ folni bg___;105719;100927;170203;1.0475;1.0045;957520.40
jmdyb aslep zxcvk  quth_ fionr wg___;101712;105580;169557;1.0380;1.0029;957604.06
jmdyb aslep zxcvk  quth_ firno wg___;101712;105580;169557;1.0380;1.0029;957627.63
jmdyq asrep zxcvk  wuth_ folni bg___;107452;100366;169031;1.0706;1.0099;957673.80
qmdyj asrep zxcvk  wuth_ filno bg___;107452;100366;169031;1.0706;1.0099;957805.60
jmdyb aslep zxcvk  quth_ forni wg___;101712;105580;169557;1.0380;1.0029;957820.18
jmdyb aslep zxcvk  qfth_ uirno wg___;101712;105580;169557;1.0380;1.0029;957825.70
qmdwj asrep zxcvk  byth_ filno gu___;105719;100927;170203;1.0475;1.0045;957838.07
qmdwj asrep zxcvk  buth_ folni yg___;105719;100927;170203;1.0475;1.0045;957848.87
jmdbq asrep zxcvk  wyth_ filno gu___;108058;100272;168519;1.0776;1.0120;957874.48
jmdyk aslep zxcvb  quth_ fionr wg___;101712;105580;169557;1.0380;1.0029;957875.84
qmdwj asrep zxcvk  byth_ uilno fg___;105719;100927;170203;1.0475;1.0045;957883.27
jmdyk aslep zxcvb  quth_ firno wg___;101712;105580;169557;1.0380;1.0029;957899.41
qmdwj asrep zxcvk  yfth_ uilno bg___;105719;100927;170203;1.0475;1.0045;957907.13
jmdyb aslep zxcvk  wfth_ uirno qg___;101712;105580;169557;1.0380;1.0029;957962.09
jmdyb aslep zxcvk  wuth_ forni qg___;101712;105580;169557;1.0380;1.0029;957983.15
